Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart?sessionId=cbcfed42-857a-11f1-80a3-e58355e4aa54,17,14,280,293.20179564734536,255.08146500214934,348.0418280014419,21.529411764705884,0.018887128434498822,0.015554105769587266,280,310,320,330,340,350,350,350,350,350,350
GET,/api/cart?sessionId=cbcff2e2-857a-11f1-80a3-e58355e4aa54,13,13,290,326.1426234620068,249.09511700388975,607.1814560054918,21.0,0.014443098214616748,0.014443098214616748,290,350,370,370,400,610,610,610,610,610,610
GET,/api/cart?sessionId=cbcff760-857a-11f1-80a3-e58355e4aa54,17,10,290,314.4106819407384,265.8570450003026,422.2908309966442,22.235294117647058,0.018887128434498822,0.01111007554970519,290,310,330,330,420,420,420,420,420,420,420
GET,/api/cart?sessionId=cc67ec00-857a-11f1-80a3-e58355e4aa54,11,11,290,311.29663509107723,259.3321800013655,445.0069570011692,21.0,0.01222108310467571,0.01222108310467571,290,310,340,340,370,450,450,450,450,450,450
GET,/api/cart?sessionId=cc67f60a-857a-11f1-80a3-e58355e4aa54,14,10,280,305.18330457094373,256.74136800080305,562.242043997685,21.857142857142858,0.015554105769587266,0.01111007554970519,280,280,290,300,390,560,560,560,560,560,560
GET,/api/cart?sessionId=cc67fc4a-857a-11f1-80a3-e58355e4aa54,10,10,280,314.792164498067,262.4257770003169,512.5849399992148,21.0,0.01111007554970519,0.01111007554970519,290,310,340,340,510,510,510,510,510,510,510
GET,/api/cart?sessionId=cc6805a0-857a-11f1-80a3-e58355e4aa54,11,11,310,350.27251572715943,262.9086230008397,820.1764420009567,21.0,0.01222108310467571,0.01222108310467571,310,310,350,350,350,820,820,820,820,820,820
GET,/api/cart?sessionId=cc680cd0-857a-11f1-80a3-e58355e4aa54,18,16,290,338.410362610173,253.92460400325945,600.7607459978317,21.333333333333332,0.019998135989469343,0.017776120879528304,290,330,340,390,580,600,600,600,600,600,600
GET,/api/cart?sessionId=cc68134c-857a-11f1-80a3-e58355e4aa54,10,9,290,323.1793926002865,253.1930939949234,518.3166600036202,21.3,0.01111007554970519,0.009999067994734672,290,290,300,480,520,520,520,520,520,520,520
GET,/api/cart?sessionId=cc681842-857a-11f1-80a3-e58355e4aa54,28,20,290,346.0149697504156,248.88482999813277,1377.6677490022848,21.857142857142858,0.03110821153917453,0.02222015109941038,300,320,340,350,390,450,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=cc682044-857a-11f1-80a3-e58355e4aa54,11,11,290,305.00405936486044,255.0752140014083,401.33893500023987,21.0,0.01222108310467571,0.01222108310467571,290,330,340,340,370,400,400,400,400,400,400
GET,/api/cart?sessionId=cc682742-857a-11f1-80a3-e58355e4aa54,14,13,280,501.4089027847928,253.72337099543074,2345.966708002379,21.214285714285715,0.015554105769587266,0.014443098214616748,320,340,510,530,770,2300,2300,2300,2300,2300,2300
GET,/api/cart?sessionId=cc682cba-857a-11f1-80a3-e58355e4aa54,19,16,290,291.45163063137596,250.71519700577483,352.17963399918517,21.473684210526315,0.02110914354443986,0.017776120879528304,290,300,310,320,350,350,350,350,350,350,350
GET,/api/cart?sessionId=cc68323c-857a-11f1-80a3-e58355e4aa54,13,13,290,378.90682561611845,267.1943770037615,939.2626480039326,21.0,0.014443098214616748,0.014443098214616748,290,320,320,500,590,940,940,940,940,940,940
GET,/api/cart?sessionId=cc683700-857a-11f1-80a3-e58355e4aa54,19,15,330,400.6292756323666,246.67473699810216,1023.7131579997367,21.63157894736842,0.02110914354443986,0.016665113324557786,330,340,380,430,930,1000,1000,1000,1000,1000,1000
